corrida;secao;acoatual;qualidade;al_min;c_min;c_max;n_min;s_min;sequencia;sequenciatotal;panela;vidapanela;tempociclo;tempovacuototal;temperaturaliquidus;temperaturasaidafp;temperaturaobjetivada
5506;90.0;A3B878E8;9C0993CD;0.02;0.39;0.42;0.0;0.01;5.0;9.0;3.0;28.0;7120.0;51.0;1480.0;1639;1530.0
5505;90.0;F8CF7EE9;AED00924;0.02;0.36;0.4;0.0;0.02;4.0;9.0;15.0;34.0;2414.0;34.0;1480.0;1640;1525.0
5504;90.0;F8CF7EE9;AED00924;0.02;0.36;0.4;0.0;0.02;3.0;9.0;6.0;51.0;5988.0;34.0;1480.0;1639;1525.0
5503;90.0;23FCEA32;AED00924;0.02;0.46;0.51;0.0;0.02;2.0;9.0;4.0;5.0;1263.0;34.0;1480.0;1643;1525.0
5502;90.0;44FD3753;7BF6FBDF;0.01;0.36;0.39;0.0;0.01;1.0;9.0;1.0;23.0;6253.0;34.0;1482.0;1665;1537.0
5501;90.0;497059B7;F1291CB0;0.02;0.17;0.19;0.01;0.02;4.0;4.0;3.0;27.0;6772.0;55.0;1506.0;1690;1551.0
5500;90.0;19A689FA;F1291CB0;0.03;0.24;0.27;0.01;0.03;3.0;4.0;15.0;33.0;2088.0;55.0;1506.0;1691;1551.0
5499;90.0;D8D008C7;F1291CB0;0.02;0.17;0.18;0.01;0.02;2.0;4.0;6.0;50.0;5653.0;55.0;1506.0;1686;1551.0
5498;90.0;CF529D7D;F1291CB0;0.02;0.19;0.21;0.01;0.02;1.0;4.0;4.0;4.0;965.0;60.0;1506.0;1710;1551.0
5497;90.0;716BA6C7;F1291CB0;0.02;0.19;0.2;0.01;0.02;4.0;4.0;1.0;22.0;5949.0;55.0;1506.0;1676;1551.0
5496;90.0;F94E282E;F1291CB0;0.03;0.24;0.27;0.01;0.03;3.0;8.0;3.0;26.0;6469.0;55.0;1506.0;1680;1551.0
5495;90.0;133ECADB;F1291CB0;0.02;0.17;0.19;0.01;0.02;2.0;8.0;15.0;32.0;1745.0;55.0;1506.0;1683;1551.0
5494;90.0;ECF06FC0;F1291CB0;0.02;0.16;0.18;0.01;0.02;1.0;8.0;6.0;49.0;5314.0;60.0;1506.0;1690;1551.0
5493;90.0;F4504489;CC18C404;0.02;0.23;0.26;0.01;0.02;3.0;3.0;4.0;3.0;636.0;41.0;1506.0;1676;1551.0
5492;90.0;8522E344;CC18C404;0.02;0.16;0.18;0.01;0.02;2.0;3.0;1.0;21.0;5625.0;41.0;1506.0;1666;1551.0
5491;90.0;8204BD57;CC18C404;0.03;0.26;0.28;0.01;0.03;1.0;3.0;3.0;25.0;6131.0;41.0;1506.0;1676;1551.0
5490;90.0;808CFF28;D90699DC;0.02;0.27;0.29;0.01;0.02;8.0;8.0;15.0;31.0;1391.0;39.0;1495.0;1655;1545.0
5489;90.0;F6DC04B7;D90699DC;0.02;0.34;0.38;0.01;0.02;7.0;8.0;6.0;48.0;4965.0;39.0;1495.0;1654;1545.0
5488;90.0;74C488E4;D90699DC;0.02;0.25;0.27;0.0;0.02;6.0;8.0;4.0;2.0;289.0;39.0;1495.0;1672;1545.0
5487;90.0;1F946944;D90699DC;0.02;0.26;0.28;0.01;0.02;5.0;8.0;1.0;20.0;5282.0;39.0;1495.0;1655;1545.0
5486;90.0;6C98A7F0;D90699DC;0.02;0.32;0.35;0.01;0.02;4.0;8.0;3.0;24.0;5803.0;39.0;1495.0;1658;1545.0
5485;90.0;EF357B96;D90699DC;0.02;0.32;0.35;0.01;0.02;3.0;8.0;15.0;30.0;1115.0;39.0;1495.0;1655;1545.0
5484;90.0;002D1A70;D90699DC;0.02;0.28;0.3;0.01;0.02;2.0;8.0;6.0;47.0;4682.0;39.0;1495.0;1652;1545.0
